tokens,ner_tags
at York York the at John works John Google at in,O O B-LOC O O O I-LOC B-ORG
New in lives in Apple,O O O B-ORG I-LOC B-ORG O O
York Google and and York Apple lives works at in Google,O O O O B-ORG
works lives the York Google York,B-ORG O O B-PER O O B-LOC O I-LOC B-PER O B-LOC O
Google Google York Apple lives,O B-LOC B-PER O O B-ORG O I-LOC B-PER B-PER B-PER I-LOC B-LOC
New and at Google the at,O O B-ORG B-PER O O O B-PER O B-ORG O O O O
at and lives John and and New lives the Apple works Google,B-ORG B-ORG O B-ORG O O B-ORG O
the and works and at in the York the,B-LOC O B-LOC O O
works New in New Apple and York works lives works,B-ORG O O B-PER O B-LOC
York Google New Apple the at lives,O O O B-ORG O B-LOC B-ORG O
York and lives and at at York New Google in lives lives works lives,O O B-ORG B-ORG B-ORG O B-LOC O B-ORG O I-LOC O O
and New at York lives at,B-ORG O O O O O O O B-ORG I-LOC I-LOC
lives John works works Google and York lives New at at works at,I-LOC O O B-PER O B-ORG B-PER O O B-PER O O O I-LOC
the at York in works York John in at the New in Apple lives,B-PER O O B-PER O I-LOC
Apple York works York York and works works,B-ORG B-PER B-LOC O B-ORG B-LOC B-ORG O
Apple at Apple and in,O B-ORG B-ORG O B-PER I-LOC O O O O O O
in New lives and lives in works works Google and and lives lives Apple,B-PER O I-LOC O O B-ORG
York and New York at New in Apple at Apple lives the works,B-LOC B-PER B-LOC B-LOC O O B-LOC B-PER
Google in works and John at works John at York,B-LOC O O I-LOC O O O B-ORG B-ORG B-ORG O I-LOC B-LOC
Google lives John at York,O O O I-LOC B-ORG B-ORG O B-ORG
Apple the the New Apple lives Google the at New,B-LOC O B-PER O O
in and works lives New in Apple New works at lives York Apple at,O I-LOC O O O O B-ORG O O
and works New lives the works in,O O B-ORG O B-ORG O B-PER B-ORG O B-PER
and John York York New Apple works Google New and New,B-ORG O O B-ORG B-ORG O O
at New works in Apple works in John New York Apple,B-ORG O O I-LOC O I-LOC O B-ORG
Google Google John Apple at and works the York lives,O O B-LOC O B-LOC B-PER O B-ORG B-ORG O O O O O
Apple New and New Apple the in New,O O O O O B-ORG B-PER B-LOC B-PER B-ORG B-PER
Google lives the and in and works Apple in,O O B-PER B-PER O B-ORG O O O O
the lives works the Google New and John New in Google lives in lives,O O B-ORG O O O I-LOC O O O B-ORG B-ORG
John Google at John Google Apple Apple at works and in,O B-ORG B-ORG I-LOC O O O O O
York New John New York works works in York York the and John lives,B-PER B-PER B-PER B-LOC O B-ORG O O O I-LOC
lives York in lives Apple and York Apple John Apple in lives New,O O B-PER O B-PER B-PER O O
works and lives works York New and in works York the New and the,O O O O O O O O O B-ORG
Apple and Apple New and York Apple the works Google and works works,B-ORG O O B-LOC B-PER B-LOC O O B-ORG
Apple Google lives at Google York the Apple Google Apple,B-LOC O B-ORG B-PER O O B-PER B-PER B-LOC B-PER
at the John the at Apple at John John the,B-PER O B-PER B-PER B-ORG O O
in John at lives in Google New Google New,O O O I-LOC O O O
York the and in in at Apple and and,B-LOC O B-ORG I-LOC O B-ORG B-ORG I-LOC O O O B-ORG
Apple York Apple works York Google Google at works Apple works,B-ORG I-LOC O B-ORG O B-PER O O B-PER B-ORG O O
John and Google and New in in Apple,I-LOC O O B-ORG B-LOC I-LOC B-ORG O O O O O
in York Apple Google in the Apple,I-LOC I-LOC O O B-LOC O B-ORG O O
John at works and at John,B-ORG O B-ORG O O
York in works the at York,B-ORG B-ORG O B-PER O O O O O O O
lives works at works at in at and Google Google and and Google,B-ORG B-ORG B-ORG O O B-ORG O B-ORG O
Google John John at lives Google and in the New,I-LOC I-LOC B-LOC O O O I-LOC O B-ORG B-LOC I-LOC
in New lives lives lives,B-LOC B-PER O B-ORG B-PER O O O
and John York lives in Apple Google John in,I-LOC O O O O I-LOC O I-LOC I-LOC B-PER B-ORG O B-ORG O
York and John works New Google New John and John York works,O O O O B-ORG O B-ORG O O O B-ORG
Google New lives lives Apple York in John New New works,B-ORG O O O B-PER O O O O O O
John Google John New John,O O O B-PER B-LOC O B-PER
works Google lives York and York John works New John,O B-PER B-PER B-LOC O O O O O B-ORG B-PER O
the and York York the York the York,O B-ORG B-ORG B-PER O O O O B-ORG O B-PER
John lives John New works Apple York New New in Apple,B-LOC O B-ORG O B-LOC
Apple in Apple at works in at and,O B-ORG O I-LOC B-PER O O O
New and and John lives New John the York,O B-ORG O O B-PER B-PER I-LOC O O O B-LOC O O
Apple John lives the York Google in New,O B-ORG B-PER B-ORG O O O B-LOC O O O B-ORG B-ORG B-ORG
works works in New Apple the in works,O O O O O O O O B-ORG
and York the York works,B-ORG O B-LOC B-PER B-PER
the in New Google and Google lives the the and,O I-LOC O B-ORG B-ORG O O O O
John Google York Google York Apple Apple lives the John,O B-PER O B-PER O O I-LOC O B-ORG B-ORG B-PER O O
at New Google and and Google and the Apple the John Google at at,O O O O O B-ORG B-ORG B-ORG O B-ORG O
and York John the in John in Apple Google and John New,O B-ORG O O O B-PER B-LOC O O
York and works Google New John at works Google works New lives,O B-ORG B-LOC I-LOC O O
New the Google Google Google at John at lives in,O B-PER B-PER O O
Apple Apple lives John Apple at works York in York Apple New in,B-ORG B-ORG O O O B-ORG B-ORG O O I-LOC O O I-LOC
John lives the works John Google at John lives Apple New York at,O B-ORG O O O O I-LOC B-LOC O B-ORG
and Apple New John in works and works,B-PER B-LOC O O B-ORG B-ORG O B-ORG O O B-ORG B-ORG I-LOC
at in the and Google and New Google and works John New,O I-LOC O O O O O B-ORG B-PER O B-LOC O I-LOC
York at works works York at Google lives lives Apple Google in in York,O I-LOC I-LOC O B-ORG B-ORG B-ORG O O I-LOC
works Apple New Apple York John York John the at Apple,O O B-LOC O B-LOC O B-LOC
lives the and in lives lives John Google Google John the,O B-LOC B-ORG B-ORG O O O O
and lives lives New the Google Apple the the lives,B-ORG O O O B-LOC B-LOC B-PER B-ORG B-PER O B-ORG
York York Apple in John Apple at Apple New lives and,B-ORG B-LOC O O O O I-LOC B-ORG B-LOC O O
and John in York New works New at and lives and Google Google,O B-ORG I-LOC I-LOC B-PER O I-LOC O O
at works Apple York York York Apple,O B-LOC O O B-ORG O
at works Google John New,O B-PER O O B-PER B-PER B-ORG O O O O O B-PER
John John lives in York at the Apple Apple in,B-PER O O I-LOC B-LOC B-PER B-PER
in in Apple in in York in and in at Apple works John Google,B-ORG I-LOC O O B-LOC O O B-ORG O O O O
at at the at works works New Google works,O O O B-PER I-LOC B-PER
