text,label
excellent excellent wonderful wonderful fantastic good love,1
excellent wonderful amazing amazing amazing,1
boring hate horrible bad horrible,0
good amazing best amazing,1
hate poor terrible terrible,0
awful worst poor boring poor terrible,0
excellent excellent wonderful,1
good best excellent love great amazing wonderful amazing,1
amazing good love great good love fantastic,1
best good good,1
love excellent wonderful wonderful,1
love excellent wonderful wonderful,1
great best wonderful amazing excellent,1
awful horrible bad boring poor terrible,0
love amazing excellent good,1
best fantastic fantastic,1
fantastic amazing fantastic wonderful great,1
wonderful excellent fantastic wonderful amazing love,1
good wonderful good good,1
good fantastic best love excellent wonderful love love great,1
worst boring hate,0
poor bad boring worst horrible poor hate,0
great best fantastic amazing best best good wonderful,1
hate awful awful poor bad terrible hate,0
best amazing love love amazing wonderful good amazing,1
amazing wonderful amazing amazing,1
wonderful great amazing love amazing amazing wonderful,1
fantastic good love best wonderful,1
boring hate poor awful terrible poor horrible poor,0
awful bad bad poor worst,0
amazing great love wonderful,1
amazing excellent excellent wonderful amazing,1
good best amazing fantastic excellent,1
boring bad worst bad worst horrible awful,0
excellent love fantastic,1
best amazing wonderful excellent amazing,1
best good amazing wonderful,1
great amazing good great great fantastic excellent fantastic amazing,1
love great good best love fantastic fantastic excellent good,1
hate awful horrible awful poor terrible boring bad,0
best fantastic love fantastic fantastic amazing,1
fantastic wonderful wonderful excellent,1
excellent love fantastic excellent amazing best love best,1
best wonderful best excellent fantastic great,1
good best fantastic fantastic amazing good,1
good best best amazing wonderful,1
great amazing amazing love wonderful excellent great good good,1
good wonderful fantastic fantastic love love good wonderful good,1
poor awful hate,0
bad awful awful boring horrible awful awful bad,0
poor awful poor horrible boring worst horrible bad,0
best best best,1
poor bad hate poor poor worst hate poor horrible,0
great love wonderful wonderful best love,1
horrible boring awful poor hate boring poor boring,0
awful boring boring bad horrible hate poor hate,0
awful poor poor hate poor bad horrible poor,0
terrible terrible boring boring boring awful terrible boring awful,0
terrible hate worst terrible,0
love best great good excellent,1
boring boring worst terrible poor terrible poor horrible awful,0
worst poor terrible boring,0
amazing love good great amazing best excellent best,1
